country,question,mean_wave_4,mean_wave_5,change_direction,change_magnitude,t_statistic,p_value
IRN,A165,1.3465140478668054,1.8938420853796751,Increase,0.5473280375128697,-44.14247894963873,0.0
EGY,A029,0.726,0.2615535889872173,Drop,-0.46444641101278267,40.78868099385237,0.0
IRN,A124_02,0.7575039494470774,0.31207801950487624,Drop,-0.4454259299422012,35.99478353016659,1.6829743696816305e-253
IRN,A124_12,0.7989731437598736,0.37959489872468116,Drop,-0.41937824503519244,34.035347633126705,5.524396887089879e-229
IRN,A124_06,0.9036334913112164,0.5894934333958725,Drop,-0.31414005791534394,28.070291231523107,1.2477655327980798e-159
EGY,A041,0.21633333333333332,0.5214683710258932,Increase,0.30513503769255984,-25.942316074426742,1.4354722410548186e-140
EGY,A032,0.5076666666666667,0.7731891183218617,Increase,0.26552245165519495,-22.373791320248813,1.9098522984056682e-106
ZAF,A124_08,0.6663333333333333,0.8945783132530121,Increase,0.22824497991967874,-22.19964868926528,2.330572559854881e-104
TUR,A173,5.474536355607889,7.403933434190621,Increase,1.9293970785827312,-22.290921994843508,9.253036896419986e-103
TUR,A170,5.800294117647059,7.455423476968797,Increase,1.6551293593217373,-21.65100498268476,1.400911605782279e-96
EGY,A038,0.08033333333333334,0.2776138970829236,Increase,0.19728056374959027,-20.750618633515295,7.557285916645091e-92
IRN,A124_07,0.995260663507109,0.859714928732183,Drop,-0.13554573477492593,19.746423611411092,1.6513888290379496e-81
ZAF,A124_07,0.24733333333333332,0.0774260151410874,Drop,-0.16990731819224592,18.251366153643627,4.1017304490333655e-72
IRQ,A124_01,0.8425806451612903,0.9834524257239564,Increase,0.14087178056266614,-17.720643171412327,1.0503958479114138e-66
EGY,A165,1.6209106239460371,1.8157635467980295,Increase,0.1948529228519924,-17.17003687171056,1.8620676985390796e-64
JOR,A124_02,0.20605069501226492,0.5141666666666667,Increase,0.30811597165440174,-16.65580500312856,6.687698617944579e-59
TUR,A165,1.8070489844683393,1.9522031366691561,Increase,0.14515415220081684,-16.174159968946107,3.6465846395530924e-57
MAR,A041,0.10311750599520383,0.36583333333333334,Increase,0.2627158273381295,-16.063472007634527,1.0127294262207262e-54
ZAF,A173,6.887102177554439,7.807457627118644,Increase,0.9203554495642052,-15.60482259331658,8.058588031006844e-54
