country,question,mean_wave_6,mean_wave_7,change_direction,change_magnitude,t_statistic,p_value
IND,A041,0.8111819519372241,0.22044917257683216,Drop,-0.5907327793603919,50.07013661267772,0.0
IND,A040,0.8307994114762138,0.26713947990543735,Drop,-0.5636599315707764,45.983650748966944,0.0
IND,A042,0.898970083374203,0.2222222222222222,Drop,-0.6767478611519808,60.6544424416044,0.0
JOR,A106,0.008333333333333333,1.9866999168744806,Increase,1.9783665835411473,-421.978572855735,0.0
IND,A039,0.8469838155958803,0.2937352245862884,Drop,-0.5532485910095919,44.51411166132426,2e-322
IND,A038,0.8572829818538499,0.3067375886524823,Drop,-0.5505453932013675,44.1123855630646,6.7870533e-316
EGY,A029,0.7820091923834537,0.14428690575479566,Drop,-0.637722286628658,43.48558349064403,1.13393328113e-313
IND,A034,0.6917606669936244,0.22281323877068557,Drop,-0.4689474282229388,37.702590533842624,3.532871513437596e-261
UZB,A124_03,0.8406666666666667,0.2568,Drop,-0.5838666666666668,37.51979103031452,1.1655050360770799e-243
LBY,A124_02,0.5396527451900516,0.08444816053511706,Drop,-0.4552045846549345,33.80402306643344,1.4111481006397985e-215
UZB,A124_12,0.15066666666666667,0.704,Increase,0.5533333333333332,-34.84231963399754,1.1086968628405044e-214
IND,A035,0.8925944090240314,0.4450354609929078,Drop,-0.4475589480311236,34.36973124569585,1.543372528786057e-208
UZB,A099,0.04768300873069174,0.8733766233766234,Increase,0.8256936146459316,-31.784193753618293,1.168811140832754e-168
UZB,A124_42,0.5086666666666667,0.076,Drop,-0.4326666666666667,28.976626687924025,3.4250938880639746e-158
ZWE,A098,1.6253333333333333,1.030502885408079,Drop,-0.5948304479252542,28.667281049564966,4.864563257691452e-158
ZWE,A009,1.6906666666666668,2.7775947281713345,Increase,1.0869280615046677,-28.95047382068437,1.2574897707096974e-156
LBY,A124_07,0.7099953073674331,0.2683946488294314,Drop,-0.4416006585380017,27.335195003851513,2.4669366761936233e-144
LBY,A098,0.1398912506178942,0.9036348267117498,Increase,0.7637435760938556,-27.823428889556066,1.7962882766424593e-138
UZB,A101,0.0290736984448952,0.6824877250409165,Increase,0.6534140265960213,-28.047785824205732,2.4997345002654433e-137
EGY,A008,3.0604070912672356,2.273561301084237,Drop,-0.7868457901829986,25.58456363610398,2.145530389139282e-129
LBY,A124_42,0.8066635382449554,0.387123745819398,Drop,-0.4195397924255574,25.44944835405813,1.302037182665509e-124
IND,A029,0.8987248651299656,0.5774231678486997,Drop,-0.3213016972812659,24.891293406073448,6.64969202107099e-121
MAR,A004,3.34981684981685,2.3925,Drop,-0.9573168498168498,24.80637821405817,1.9524674964447012e-120
LBY,A124_43,0.4129516658845612,0.08695652173913043,Drop,-0.3259951441454308,24.28119705065192,4.952969815255252e-120
UZB,A124_09,0.65,0.2416,Drop,-0.4084,23.639391556777724,1.4444808430363443e-112
KOR,A124_42,0.475,0.08032128514056225,Drop,-0.39467871485943773,24.137376870310753,4.915415181399961e-112
TUN,A038,0.23153526970954358,0.6512605042016807,Increase,0.4197252344921371,-22.80315649255888,3.796214417840812e-104
EGY,A004,2.166119500984898,2.995730145175064,Increase,0.8296106441901658,-22.0120515740767,2.614545403285846e-98
UZB,A106,0.018292682926829267,0.5524769101595298,Increase,0.5341842272327005,-22.866836754475216,2.38366673220203e-97
LBY,A124_12,0.5438761145002347,0.19983277591973245,Drop,-0.3440433385805022,21.747283507011634,2.405759256726295e-97
LBY,A124_06,0.5847020178320037,0.23244147157190637,Drop,-0.35226054626009734,21.70886682967725,1.0327653406174302e-96
MYS,A008,1.4738461538461538,1.9718202589489717,Increase,0.4979741051028179,-21.635014016325602,1.3297265741467647e-95
CHN,A124_12,0.09043478260869565,0.3101010101010101,Increase,0.21966622749231446,-21.15340441239212,3.155848914946918e-95
KOR,A034,0.14583333333333334,0.5236947791164659,Increase,0.3778614457831325,-21.65742349158565,1.322289695448458e-94
